{1: [14009, 18341]}
{276: [14383, 3832]}
{277: [10018, 19385]}
{278: [10627, 5915]}
{279: [9864, 12247]}
{280: [15395, 16990]}
{281: [9285, 15327]}
{282: [23218, 9298]}
{283: [13754, 20061]}
{284: [11126, 1711]}
{285: [14515, 10665]}
{286: [14982, 18789]}
{287: [18332, 23835]}
{288: [21415, 14007]}
{289: [23504, 1573]}
{290: [22443, 13710]}
{291: [10203, 15680]}
{292: [23799, 9053]}
{293: [16675, 14543]}
{294: [13771, 18110]}
{295: [8960, 22531]}
{296: [13848, 21147]}
{297: [11110, 16780]}
{298: [20431, 2182]}
{299: [8945, 21248]}
{300: [19016, 5403]}
{301: [23848, 3984]}
{302: [12575, 20119]}
{303: [19631, 871]}
{304: [21847, 9146]}
{305: [2828, 22963]}
{306: [1929, 3707]}
{307: [13805, 4029]}
{308: [12577, 15353]}
{309: [4710, 11713]}
{310: [18395, 7424]}
{311: [7803, 4365]}
{312: [16031, 1952]}
{313: [13585, 9604]}
{314: [21206, 4900]}
{315: [556, 23316]}
{316: [15058, 23556]}
{317: [15295, 21056]}
{318: [3126, 13008]}
{319: [16293, 23524]}
{320: [9865, 11012]}
{321: [20387, 4001]}
{322: [13333, 3511]}
{323: [10001, 17367]}
{324: [4956, 12495]}
{325: [19862, 13937]}
{326: [13253, 892]}
{327: [10246, 20962]}
{328: [7963, 9465]}
{329: [4197, 6670]}
{330: [23379, 10034]}
{331: [17874, 14198]}
{332: [5032, 20656]}
{333: [6789, 6933]}
{334: [15593, 22973]}
{335: [6846, 2242]}
{336: [15065, 2895]}
{337: [643, 7526]}
{338: [10158, 9375]}
{339: [9609, 3025]}
{340: [9562, 16258]}
{341: [5693, 23033]}
{342: [9059, 6273]}
{343: [9828, 5330]}
{344: [16900, 8241]}
{345: [20097, 10377]}
{346: [9244, 18519]}
{347: [10390, 4458]}
{348: [5505, 2904]}
{349: [190, 15737]}
{350: [4917, 22680]}
{351: [7568, 16490]}
{352: [10464, 16689]}
{353: [8548, 22242]}
{354: [20699, 20093]}
{355: [9527, 18772]}
{356: [4989, 20257]}
{357: [21211, 14848]}
{358: [1708, 10852]}
{359: [17276, 871]}
{360: [11435, 5683]}
{361: [3809, 9459]}
{362: [1841, 16010]}
{363: [17466, 7798]}
{364: [15942, 2094]}
{365: [2831, 5317]}
{366: [11285, 18674]}
{367: [8057, 18646]}
{368: [359, 11105]}
{369: [10081, 15860]}
{370: [18550, 9518]}
{371: [19266, 8202]}
{372: [9739, 2386]}
{373: [3468, 12425]}
{374: [5456, 22623]}
{375: [21962, 5786]}
{376: [16432, 19280]}
{377: [20433, 17353]}
{378: [6093, 9380]}
{379: [17301, 8869]}
{380: [12351, 3084]}
{381: [13499, 9552]}
{382: [21577, 7913]}
{383: [14663, 6820]}
{384: [18317, 18608]}
{385: [8590, 849]}
{386: [14333, 1669]}
{387: [2852, 18627]}
{388: [2891, 23294]}
{389: [15447, 9749]}
{390: [6504, 8393]}
{391: [9642, 13710]}
{392: [20939, 8560]}
{393: [9929, 712]}
{394: [19734, 1387]}
{395: [1288, 18502]}
{396: [2386, 4096]}
{397: [9306, 9481]}
{398: [6055, 22139]}
{399: [17110, 3551]}
{400: [648, 10108]}
{401: [6642, 12870]}
{402: [20266, 23516]}
{403: [18763, 9910]}
{404: [15607, 23365]}
{405: [17926, 8092]}
{406: [5428, 11552]}
{407: [2023, 10998]}
{408: [19711, 10738]}
{409: [19233, 6398]}
{410: [12008, 20947]}
{411: [9136, 12177]}
{412: [4392, 6865]}
{413: [10850, 6542]}
{414: [21027, 12222]}
{415: [10191, 19950]}
{416: [5791, 10832]}
{417: [12834, 3921]}
{418: [3259, 22765]}
{419: [12116, 560]}
{420: [19791, 19130]}
{421: [620, 13145]}
{422: [3175, 13638]}
{423: [1006, 8241]}
{424: [7227, 17929]}
{425: [11859, 2369]}
{426: [16520, 15228]}
{427: [22312, 7004]}
{428: [5443, 14046]}
{429: [8519, 7704]}
{430: [2473, 9418]}
{431: [12223, 2419]}
{432: [10986, 15752]}
{433: [13018, 19451]}
{434: [2184, 5293]}
{435: [1562, 19930]}
{436: [6517, 20852]}
{437: [22215, 15285]}
{438: [15195, 21693]}
{439: [1695, 9466]}
{440: [12151, 16101]}
{441: [4160, 13900]}
{442: [12963, 17519]}
{443: [5515, 16992]}
{444: [7008, 23909]}
{445: [12890, 22514]}
{446: [18912, 18781]}
{447: [8864, 16867]}
{448: [20294, 12439]}
{449: [22473, 909]}
{450: [11830, 19036]}
{451: [7498, 6975]}
{452: [17161, 9445]}
{453: [8927, 9800]}
{454: [23789, 18762]}
{455: [8498, 9136]}
{456: [14904, 4924]}
{457: [6819, 9453]}
{458: [21000, 23774]}
{459: [18474, 14471]}
{460: [18072, 10558]}
{461: [17170, 6932]}
{462: [19021, 18222]}
{463: [18073, 22483]}
{464: [4805, 6193]}
{465: [21605, 4744]}
{466: [2301, 18223]}
{467: [14046, 7905]}
{468: [5079, 17865]}
{469: [14362, 16465]}
{470: [355, 17044]}
{471: [1594, 16091]}
{472: [12181, 15668]}
{473: [8255, 4792]}
{474: [11784, 14626]}
{475: [23788, 11515]}
{476: [21245, 11098]}
{477: [13954, 20873]}
{478: [6826, 15491]}
{479: [22801, 15566]}
{480: [128, 896]}
{481: [3942, 10844]}
{482: [13311, 1386]}
{483: [3208, 20465]}
{484: [19904, 8329]}
{485: [9733, 10895]}
{486: [18183, 20715]}
{487: [17735, 2050]}
{488: [10295, 13228]}
{489: [6200, 23887]}
{490: [15391, 18417]}
{491: [1195, 3603]}
{492: [8343, 12284]}
{493: [19724, 8296]}
{494: [2771, 20191]}
{495: [18325, 20763]}
{496: [21147, 21926]}
{497: [15626, 20178]}
{498: [20590, 16598]}
{499: [13807, 17229]}
{500: [15035, 21836]}
{501: [2336, 3121]}
{502: [8462, 20330]}
{503: [22285, 10125]}
{504: [21878, 18830]}
{505: [20742, 15571]}
{506: [16420, 5339]}
{507: [10994, 4022]}
{508: [1212, 13658]}
{509: [19445, 3825]}
{510: [23443, 21162]}
{511: [17971, 18731]}
{512: [23929, 7472]}
{513: [8074, 22671]}
{514: [8937, 17799]}
{515: [19584, 19465]}
{516: [2190, 20493]}
{517: [15218, 19694]}
{518: [22718, 3570]}
{519: [15868, 8234]}
{520: [7095, 17560]}
{521: [8553, 8490]}
{522: [2139, 8286]}
{523: [7034, 11700]}
{524: [10915, 991]}
{525: [21233, 8318]}
{526: [20624, 20883]}
{527: [20336, 17271]}
{528: [6494, 4949]}
{529: [15743, 1315]}
{530: [11521, 17998]}
{531: [13834, 21886]}
{532: [21978, 22498]}
{533: [3656, 3391]}
{534: [16852, 7798]}
{535: [5478, 12358]}
{536: [1239, 1176]}
{537: [3723, 19729]}
{538: [7699, 17215]}
{539: [16137, 15932]}
{540: [16827, 21339]}
{541: [7646, 12035]}
{542: [13288, 16960]}
{543: [6162, 14151]}
{544: [12690, 2295]}
{545: [15525, 18760]}
{546: [7500, 11188]}
{547: [20686, 8471]}
{548: [11265, 11396]}
{549: [21903, 18713]}
{550: [19028, 1916]}
{551: [10145, 14367]}
{552: [21574, 8522]}
{553: [12448, 17210]}
{554: [11140, 11206]}
{555: [12279, 22355]}
{556: [2231, 519]}
{557: [1202, 415]}
{558: [50, 793]}
{559: [2232, 2683]}
{560: [1642, 7344]}
{561: [7401, 6961]}
{562: [10366, 11638]}
{563: [4762, 23714]}
{564: [21447, 16339]}
{565: [7893, 9952]}
{566: [21827, 53]}
{567: [14219, 5984]}
{568: [7139, 22770]}
{569: [23518, 12081]}
{570: [22321, 17727]}
{571: [8662, 8736]}
{572: [21654, 19023]}
{573: [2588, 14526]}
{574: [17884, 15323]}
{575: [18228, 18475]}
{576: [18922, 11384]}
{577: [9378, 3900]}
{578: [17348, 17267]}
{579: [5447, 7540]}
{580: [2515, 18420]}
{581: [241, 18022]}
{582: [22967, 7331]}
{583: [21044, 9516]}
{584: [5081, 9780]}
{585: [18551, 10197]}
{586: [10930, 14681]}
{587: [21836, 10005]}
{588: [9540, 8920]}
{589: [2208, 7996]}
{590: [22384, 22450]}
{591: [21647, 20310]}
{592: [17350, 3369]}
{593: [16550, 23609]}
{594: [16696, 41]}
{595: [16757, 11468]}
{596: [10417, 4929]}
{597: [4834, 20270]}
{598: [4873, 21686]}
{599: [18674, 4710]}
{600: [14402, 17414]}
{601: [201, 3092]}
{602: [15724, 22390]}
{603: [15226, 9171]}
{604: [6929, 3979]}
{605: [4092, 18732]}
{606: [21829, 20571]}
{607: [3868, 23221]}
{608: [22647, 12852]}
{609: [2296, 3147]}
{610: [18002, 10644]}
{611: [3762, 1899]}
{612: [19494, 7726]}
{613: [4490, 20774]}
{614: [2572, 13071]}
{615: [2922, 833]}
{616: [5954, 23270]}
{617: [23795, 4099]}
{618: [10476, 8786]}
{619: [5521, 3841]}
{620: [15702, 3166]}
{621: [15141, 6027]}
{622: [13136, 3897]}
{623: [218, 13454]}
{624: [21128, 3399]}
{625: [17149, 13487]}
{626: [22597, 17144]}
{627: [15151, 19063]}
{628: [23180, 20757]}
{629: [22659, 13690]}
{630: [11308, 21296]}
{631: [1027, 11849]}
{632: [9392, 933]}
{633: [13932, 22141]}
{634: [5671, 8683]}
{635: [23678, 14435]}
{636: [21518, 5846]}
{637: [9246, 21772]}
{638: [12780, 2776]}
{639: [19348, 20327]}
{640: [7936, 7378]}
{641: [12218, 7957]}
{642: [23906, 19157]}
{643: [18853, 19699]}
{644: [22917, 4113]}
{645: [17797, 15513]}
{646: [8209, 2728]}
{647: [2993, 2349]}
{648: [6032, 13981]}
{649: [6187, 2586]}
{650: [19091, 7330]}
{651: [11536, 20266]}
{652: [18637, 15885]}
{653: [16565, 654]}
{654: [22750, 15809]}
{655: [8654, 14366]}
{656: [21783, 21768]}
{657: [3609, 13914]}
{658: [11961, 14776]}
{659: [12232, 20150]}
{660: [11130, 4558]}
{661: [10982, 9353]}
{662: [11055, 23110]}
{663: [3382, 22734]}
{664: [18129, 5592]}
{665: [17901, 22177]}
{666: [9816, 15466]}
{667: [7372, 6376]}
{668: [9022, 22435]}
{669: [17026, 293]}
{670: [11663, 1661]}
{671: [22536, 10823]}
{672: [11132, 4324]}
{673: [22144, 22403]}
{674: [17887, 3456]}
{675: [10494, 14639]}
{676: [3391, 6173]}
{677: [15673, 264]}
{678: [18991, 13328]}
{679: [4236, 17443]}
{680: [6028, 602]}
{681: [15877, 10271]}
{682: [15301, 6600]}
{683: [15686, 8685]}
{684: [3041, 445]}
{685: [13436, 18959]}
{686: [16576, 17323]}
{687: [11501, 15314]}
{688: [5953, 13183]}
{689: [5723, 15339]}
{690: [8697, 8618]}
{691: [22066, 206]}
{692: [5644, 14168]}
{693: [23516, 9945]}
{694: [19322, 14812]}
{695: [2397, 3524]}
{696: [16912, 7931]}
{697: [4108, 20551]}
{698: [22261, 12997]}
{699: [7634, 4499]}
{700: [5396, 10833]}
{701: [18539, 1474]}
{702: [11196, 19470]}
{703: [10872, 2693]}
{704: [21833, 20667]}
{705: [12749, 15504]}
{706: [22956, 1844]}
{707: [2859, 20893]}
{708: [10375, 9170]}
{709: [22561, 23652]}
{710: [4308, 4242]}
{711: [342, 9163]}
{712: [11587, 23355]}
{713: [17629, 21471]}
{714: [1, 23979]}
{715: [17367, 6656]}
{716: [6910, 9853]}
{717: [2858, 9852]}
{718: [4742, 972]}
{719: [20526, 7891]}
{720: [5852, 7662]}
{721: [23162, 3350]}
{722: [21784, 18547]}
{723: [6293, 19135]}
{724: [14246, 15902]}
{725: [21250, 2144]}
{726: [15049, 18902]}
{727: [707, 4007]}
{728: [1122, 14908]}
{729: [19247, 5497]}
{730: [9901, 7800]}
{731: [8849, 10194]}
{732: [4273, 972]}
{733: [16808, 8201]}
{734: [4880, 13359]}
{735: [20269, 11079]}
{736: [2927, 9885]}
{737: [21731, 18782]}
{738: [17546, 18267]}
{739: [705, 5721]}
{740: [11483, 20005]}
{741: [15393, 6115]}
{742: [9638, 9410]}
{743: [1128, 15220]}
{744: [402, 11292]}
{745: [22369, 14395]}
{746: [7522, 22262]}
{747: [15546, 20480]}
{748: [6570, 19472]}
{749: [20038, 12269]}
{750: [18619, 9018]}
{751: [16877, 21355]}
{752: [2928, 16566]}
{753: [20705, 18273]}
{754: [10919, 21510]}
{755: [6124, 8535]}
{756: [2411, 15386]}
{757: [22002, 5024]}
{758: [6697, 22206]}
{759: [14846, 4295]}
{760: [20376, 18282]}
{761: [4668, 5109]}
{762: [6446, 15080]}
{763: [16437, 3756]}
{764: [1528, 12]}
{765: [4659, 4605]}
{766: [3195, 8359]}
{767: [6075, 15740]}
{768: [17018, 21057]}
{769: [12929, 16322]}
{770: [5057, 23974]}
{771: [19060, 4642]}
{772: [20977, 13699]}
{773: [23223, 18923]}
{774: [5997, 18160]}
{775: [3248, 5928]}
{776: [16207, 16567]}
{777: [5285, 11975]}
{778: [2952, 8711]}
{779: [4556, 14194]}
{780: [15116, 18823]}
{781: [21353, 16480]}
{782: [12542, 19698]}
{783: [2350, 5775]}
{784: [10839, 23539]}
{785: [23941, 14013]}
{786: [21327, 21848]}
{787: [17528, 2030]}
{788: [7877, 7577]}
{789: [17772, 9359]}
{790: [17429, 10585]}
{791: [1500, 3805]}
{792: [17136, 1458]}
{793: [19114, 6729]}
{794: [7098, 10857]}
{795: [21236, 13335]}
{796: [17826, 10182]}
{797: [17613, 21907]}
{798: [5798, 8561]}
{799: [6199, 21356]}
{800: [10861, 1999]}
{801: [22247, 7241]}
{802: [1820, 7713]}
{803: [17871, 13725]}
{804: [15734, 22915]}
{805: [1349, 13977]}
{806: [6873, 15404]}
{807: [10025, 14431]}
{808: [284, 2894]}
{809: [18901, 16478]}
{810: [19071, 23225]}
{811: [13923, 16477]}
{812: [2420, 1957]}
{813: [16232, 11629]}
{814: [16679, 4640]}
{815: [4731, 19357]}
{816: [7051, 727]}
{817: [17641, 9963]}
{818: [22492, 5413]}
{819: [12837, 1663]}
{820: [15904, 9816]}
{821: [6673, 15601]}
{822: [11318, 13013]}
{823: [17177, 23910]}
{824: [9160, 18123]}
{825: [12119, 3633]}
{826: [11230, 20516]}
{827: [12177, 12266]}
{828: [14428, 23061]}
{829: [8588, 20920]}
{830: [5371, 21309]}
{831: [21230, 3185]}
{832: [1660, 17431]}
{833: [16841, 9589]}
{834: [10805, 18500]}
{835: [18594, 19587]}
{836: [22105, 13435]}
{837: [22529, 6111]}
{838: [2013, 10600]}
{839: [4410, 10133]}
{840: [5518, 4996]}
{841: [17947, 12129]}
{842: [2513, 22789]}
{843: [14211, 12043]}
{844: [13142, 690]}
{845: [17285, 14373]}
{846: [14903, 6635]}
{847: [14500, 481]}
{848: [22535, 16033]}
{849: [14052, 10962]}
{850: [21581, 14518]}
{851: [1720, 13152]}
{852: [2542, 9434]}
{853: [1793, 429]}
{854: [5046, 17730]}
{855: [20435, 20771]}
{856: [3078, 23477]}
{857: [21952, 15392]}
{858: [20565, 8382]}
{859: [17243, 23026]}
{860: [22313, 16212]}
{861: [12107, 22497]}
{862: [17180, 13401]}
{863: [336, 16503]}
{864: [2055, 5593]}
{865: [22514, 20194]}
{866: [5111, 6369]}
{867: [7090, 2471]}
{868: [5017, 23343]}
{869: [16149, 5913]}
{870: [17408, 10229]}
{871: [1874, 14079]}
{872: [12671, 5357]}
{873: [7497, 17537]}
{874: [8932, 12321]}
{875: [11490, 22887]}
{876: [18803, 10893]}
{877: [15120, 9417]}
{878: [21987, 13256]}
{879: [13064, 20509]}
{880: [10054, 3672]}
{881: [18570, 15154]}
{882: [14343, 15511]}
{883: [14348, 4348]}
{884: [12484, 4590]}
{885: [9569, 1016]}
{886: [3305, 12408]}
{887: [5987, 4481]}
{888: [9941, 20704]}
{889: [7248, 292]}
{890: [22954, 8714]}
{891: [10179, 8408]}
{892: [10149, 874]}
{893: [8423, 587]}
{894: [19224, 14128]}
{895: [10452, 23855]}
{896: [15423, 16347]}
{897: [13644, 16183]}
{898: [18635, 18236]}
{899: [16371, 3112]}
{900: [19758, 17152]}
{901: [14440, 11861]}
{902: [2462, 22045]}
{903: [5216, 21436]}
{904: [5718, 10909]}
{905: [18865, 6210]}
{906: [10370, 11567]}
{907: [9862, 18658]}
{908: [17140, 10413]}
{909: [17452, 21910]}
{910: [12434, 12796]}
{911: [16196, 16440]}
{912: [8677, 15293]}
{913: [14620, 8475]}
{914: [4117, 18998]}
{915: [22684, 14306]}
{916: [15072, 13308]}
{917: [12507, 14027]}
{918: [20241, 4026]}
{919: [8148, 2286]}
{920: [20429, 5214]}
{921: [12689, 10337]}
{922: [5507, 8359]}
{923: [10112, 19625]}
{924: [7654, 19515]}
{925: [2644, 6748]}
{926: [16901, 19847]}
{927: [19475, 17222]}
{928: [19613, 21318]}
{929: [1004, 18929]}
{930: [9358, 3748]}
{931: [12673, 324]}
{932: [22065, 13170]}
{933: [6777, 7142]}
{934: [22039, 13930]}
{935: [18785, 11680]}
{936: [11915, 16126]}
{937: [876, 19383]}
{938: [7776, 16191]}
{939: [10087, 3030]}
{940: [21131, 17862]}
{941: [6083, 16259]}
{942: [5335, 2309]}
{943: [1998, 8708]}
{944: [21199, 17136]}
{945: [8330, 13777]}
{946: [11557, 1192]}
{947: [14356, 6333]}
{948: [10688, 18085]}
{949: [65, 15965]}
{950: [21135, 19450]}
{951: [6803, 78]}
{952: [2220, 199]}
{953: [17977, 14251]}
{954: [3526, 16918]}
{955: [16263, 8571]}
{956: [17521, 7053]}
{957: [5637, 3204]}
{958: [15260, 2092]}
{959: [21404, 21238]}
{960: [14258, 16205]}
{961: [6370, 5119]}
{962: [1453, 19876]}
{963: [5128, 18724]}
{964: [13648, 5295]}
{965: [7645, 18800]}
{966: [11519, 2378]}
{967: [17415, 16049]}
{968: [9550, 22410]}
{969: [7575, 13612]}
{970: [12276, 1595]}
{971: [18399, 12579]}
{972: [16120, 10421]}
{973: [21474, 3134]}
{974: [5176, 17445]}
{975: [4635, 6504]}
{976: [2026, 743]}
{977: [18053, 7598]}
{978: [14520, 8225]}
{979: [6488, 5095]}
{980: [14925, 14804]}
{981: [12867, 6414]}
{982: [18719, 3403]}
{983: [7088, 10970]}
{984: [19642, 6439]}
{985: [14581, 9007]}
{986: [6310, 16262]}
{987: [13390, 10252]}
{988: [4987, 18045]}
{989: [23261, 11652]}
{990: [6760, 4383]}
{991: [16332, 3453]}
{992: [2964, 9986]}
{993: [5660, 3857]}
{994: [4188, 15741]}
{995: [9122, 18359]}
{996: [14384, 11736]}
{997: [3845, 2159]}
{998: [22768, 2836]}
{999: [13522, 23776]}
{1000: [4706, 18472]}
{1001: [13856, 22017]}
{1002: [330, 21341]}
{1003: [5400, 16136]}
{1004: [8801, 8038]}
{1005: [104, 4512]}
{1006: [19365, 23939]}
{1007: [14688, 22831]}
{1008: [5009, 12530]}
{1009: [9027, 13541]}
{1010: [3647, 18733]}
{1011: [16709, 16837]}
{1012: [294, 7415]}
{1013: [6239, 20048]}
{1014: [8644, 13026]}
{1015: [3330, 23863]}
{1016: [849, 19277]}
{1017: [22106, 14540]}
{1018: [18543, 10585]}
{1019: [21501, 8925]}
{1020: [17896, 14123]}
{1021: [9012, 2056]}
{1022: [8359, 19350]}
{1023: [21407, 8990]}
{1024: [21283, 12442]}
{1025: [13097, 23501]}
{1026: [10907, 18381]}
{1027: [10357, 7974]}
{1028: [6811, 7017]}
{1029: [6356, 14075]}
{1030: [4905, 16280]}
{1031: [2691, 16447]}
{1032: [19270, 21384]}
{1033: [12675, 11216]}
{1034: [90, 11509]}
{1035: [18734, 15798]}
{1036: [19111, 16476]}
{1037: [19926, 22529]}
{1038: [8318, 12270]}
{1039: [23699, 20447]}
{1040: [3493, 17117]}
{1041: [17130, 14964]}
{1042: [7553, 1751]}
{1043: [13957, 603]}
{1044: [23794, 3952]}
{1045: [21417, 15193]}
{1046: [18206, 17899]}
{1047: [18810, 12168]}
{1048: [14149, 13822]}
{1049: [17688, 18020]}
{1050: [4478, 17278]}
{1051: [21200, 16636]}
{1052: [18571, 14732]}
{1053: [15944, 13831]}
{1054: [18078, 3722]}
{1055: [14072, 18679]}
{1056: [18792, 15760]}
{1057: [14190, 9854]}
{1058: [6037, 13678]}
{1059: [13268, 4440]}
{1060: [5835, 6585]}
{1061: [19654, 23198]}
{1062: [9554, 6818]}
{1063: [12859, 8776]}
{1064: [18693, 5468]}
{1065: [17770, 10790]}
{1066: [21251, 19708]}
{1067: [20885, 18985]}
{1068: [4441, 13344]}
{1069: [4458, 17067]}
{1070: [23557, 13310]}
{1071: [14087, 12357]}
{1072: [4246, 16041]}
{1073: [12642, 15748]}
{1074: [21765, 22084]}
{1075: [1872, 9101]}
{1076: [20380, 14352]}
